query_seq	what_def	kid	pathway	family	genus_sp
lcl|FLDA00M01A867X	histone H3	K11253	Systemic lupus erythematosus	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A8JW2	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01A8PR6	20S proteasome subunit beta 6	K02732	Proteasome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A8QIJ	lcl|tps:THAPSDRAFT_37294	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01A8V30	"actin, other eukaryote"	K10355	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A90Q2	callose synthase	K11000	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01A91HM	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Fragilariopsis
lcl|FLDA00M01A931X	translation initiation factor eIF-4A	K03257	NA	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01A9JMF	heat shock 70kDa protein 5	K09490	NA	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01A9O5P	zinc metalloprotease ZmpB	K08643	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01A9V15	AP-2 complex subunit sigma-1	K11827	Endocytosis	bacillariaceae	Thalassiosira
lcl|FLDA00M01AF291	nucleoside-diphosphate kinase	K00940	Purine metabolism	bacillariaceae	Fragilariopsis
lcl|FLDA00M01AGISE	tubulin alpha	K07374	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01AHC0R	stearoyl-CoA desaturase (delta-9 desaturase)	K00507	Biosynthesis of unsaturated fatty acids	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01AIMPT	exportin1	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01AJ5PK	large subunit ribosomal protein L40e	K02927	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01AJ6VP	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Fragilariopsis
lcl|FLDA00M01AJDVO	stromal processing peptidase	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01AJQFM	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01AKX4S	magnesium chelatase	K03403	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01AL2TT	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01ALCSZ	large subunit ribosomal protein L40e	K02927	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01ALF17	ubiquitin-conjugating enzyme E2 D/E	K06689	Ubiquitin mediated proteolysis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01ALMHU	lcl|pti:PHATRDRAFT_50544	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01AM43H	"actin, other eukaryote"	K10355	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AMBGR	glutamate synthase (ferredoxin)	K00284	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AMF8D	lcl|pti:PHATRDRAFT_50257	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01AMWAU	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01AN222	Ras-related protein Rab-31	K07892	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01ANJQH	V-type H+-transporting ATPase subunit A	K02145	Oxidative phosphorylation	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01AO4T2	large subunit ribosomal protein L18e	K02883	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AOLOK	magnesium chelatase	K03403	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AP5YG	light-harvesting complex I chlorophyll a/b binding protein 1	K08907	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01APAFA	tubulin alpha	K07374	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01APIEH	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01APRW7	lcl|tps:THAPSDRAFT_bd718	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01APW3E	small subunit ribosomal protein S24e	K02974	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01APWKI	lcl|tps:THAPSDRAFT_20812*	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AQ2BJ	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AQ8VE	large subunit ribosomal protein L5e	K02932	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AQ9G4	molecular chaperone HtpG	K04079	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01AQD7B	lcl|ppp:PHYPADRAFT_234838	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AQGSB	inorganic pyrophosphatase	K01507	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AQKQ1	3-isopropylmalate dehydratase	K01702	"Valine, leucine and isoleucine biosynthesis"	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01AQRNV	large subunit ribosomal protein L8e	K02938	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01AQSWQ	"calmodulin-domain protein kinase, putative"	K13412	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01ARZ9Q	glycine hydroxymethyltransferase	K00600	"Glycine, serine and threonine metabolism"	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AS3JS	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AS4G3	small subunit ribosomal protein S8e	K02995	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AS9F7	large subunit ribosomal protein L36e	K02920	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01ASCVU	hydroxymethylbilane synthase	K01749	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01ASEN4	small subunit ribosomal protein S23e	K02973	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01ASJUT	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Thalassiosira
lcl|FLDA00M01ASTKB	photosystem II PsbA protein	K02703	Photosynthesis	bacillariaceae	Thalassiosira
lcl|FLDA00M01ASTO3	protease	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01ATDAF	Ubiquitin family protein	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01ATGK7	large subunit ribosomal protein L15e	K02877	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01ATZ5T	large subunit ribosomal protein L5e	K02932	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AU03C	small subunit ribosomal protein S26e	K02976	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01AUUU4	amino acid adenylation domain-containing protein	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01AV27V	adenosine kinase	K00856	Purine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AVECW	peptidyl-prolyl isomerase F (cyclophilin F)	K09565	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01AVEDK	small subunit ribosomal protein S3Ae	K02984	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AVXAZ	ketol-acid reductoisomerase	K00053	"Valine, leucine and isoleucine biosynthesis"	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AVXNR	magnesium chelatase	K03403	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01AW72E	glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]	K00264	"Alanine, aspartate and glutamate metabolism"	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01AWBYT	"Ca2+ transporting ATPase, plasma membrane"	K05850	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01AWTPL	cell division protease FtsH	K03798	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01AWUQ8	peptide chain release factor eRF subunit 1	K03265	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01AXA36	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AXA58	glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]	K00264	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AXD66	lcl|pti:PHATRDRAFT_40282	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AXG33	ferredoxin-nitrite reductase	K00366	Nitrogen metabolism	bacillariaceae	Fragilariopsis
lcl|FLDA00M01AXI0P	F-type H+-transporting ATPase subunit gamma	K02115	Oxidative phosphorylation	bacillariaceae	Thalassiosira
lcl|FLDA00M01AXPC5	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01AXXS5	elongation factor EF-2	K03234	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AYBUK	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AYJ3D	large subunit ribosomal protein LP0	K02941	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01AYL8Q	magnesium chelatase	K03403	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01AYSQE	small subunit ribosomal protein S18e	K02964	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AYUWY	"PDH1; precursor of dehydrogenase pyruvate dehydrogenase E1, alpha and beta subunits"	NA	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01AYXVG	taurine dioxygenase	K03119	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01AZ7FR	20S proteasome subunit beta 5	K02737	Proteasome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01AZ99B	glutamine synthetase	K01915	"Alanine, aspartate and glutamate metabolism"	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01AZA8V	RNA polymerase sigma-32 factor	K03089	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01AZI7X	ADP-ribosylation factor 1	K07937	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01AZT6E	translation initiation factor eIF-2 gamma subunit	K03242	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B057E	small subunit ribosomal protein S2e	K02981	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01B057Q	histone H3	K11253	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01B06UC	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B0ES1	F-type H+-transporting ATPase subunit beta	K02133	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B0GUI	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B0J5I	demethylmenaquinone methyltransferase/aldolase	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B0PXY	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01B0QQB	Tic110; translocator of the inner chloroplast envelope membrane 110k	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B0W29	small subunit ribosomal protein S21e	K02971	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01B11YR	zeta-carotene desaturase	K00514	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01B1418	small subunit ribosomal protein S29e	K02980	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01B19R6	lcl|pti:PHATRDRAFT_33839*	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B1B7A	sedoheptulose-bisphosphatase	K01100	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01B1CMD	lcl|tps:THAPSDRAFT_21768*	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B1F5E	T-complex protein 1 subunit alpha	K09493	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01B1FPI	lcl|pti:PHATR_18533	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B1OIQ	large subunit ribosomal protein L31e	K02910	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01B1RUY	large subunit ribosomal protein L36e	K02920	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01B1UZL	myo-inositol-1(or 4)-monophosphatase	K01092	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B1Y1N	small subunit ribosomal protein S12e	K02951	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01B2D6O	translation initiation factor eIF-4A	K03257	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B2EAI	argininosuccinate synthase	K01940	"Alanine, aspartate and glutamate metabolism"	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B2GO7	small subunit ribosomal protein S18e	K02964	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B2HMD	"glutamate-1-semialdehyde 2,1-aminomutase"	K01845	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B2K0T	small subunit ribosomal protein S3e	K02985	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B2TO3	"protein phosphatase 2 (formerly 2A), catalytic subunit"	K04382	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01B2YNL	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B31KI	"protein disulfide isomerase family A, member 6"	K09584	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B32HV	ribose 5-phosphate isomerase A	K01807	Pentose phosphate pathway	bacillariaceae	Phaeodactylum
lcl|FLDA00M01B3870	large subunit ribosomal protein L18Ae	K02882	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M01B3CC2	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B3DE1	lcl|tps:THAPS_29057	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01B3FHQ	large subunit ribosomal protein L37e	K02922	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B3NO4	tubulin alpha	K07374	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01B3O21	lcl|pti:PHATRDRAFT_49286*	NA	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01B3OFK	large subunit ribosomal protein L23e	K02894	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B3PFZ	F-type H+-transporting ATPase subunit alpha	K02132	NA	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01B3R97	transketolase	K00615	Pentose phosphate pathway	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B3X3N	magnesium chelatase subunit ChlD	K03404	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B3YY8	Na+-transporting NADH:ubiquinone oxidoreductase subunit A	K00346	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B3ZPL	small subunit ribosomal protein S15e	K02958	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M01B40X1	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B42JL	ribose-phosphate pyrophosphokinase	K00948	Pentose phosphate pathway	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B460I	tryptophanyl-tRNA synthetase	K01867	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B47FX	elongation factor EF-1 beta subunit	K03232	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01B491C	lcl|pti:PHATRDRAFT_37484	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B4ADS	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B4ILZ	succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]	K01899	Citrate cycle (TCA cycle)	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B4LGV	tubulin beta	K07375	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B4LV5	lcl|pti:PHATR_21083*	K13525	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01B4NFY	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B50H6	ubiquitin C	K08770	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B51ZA	glutamine synthetase	K01915	"Alanine, aspartate and glutamate metabolism"	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B5DY7	large subunit ribosomal protein L12e	K02870	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B5FPF	sulfate adenylyltransferase	K00958	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B5PC9	lcl|pti:PHATRDRAFT_44831	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01B5SRO	lcl|pti:PHATRDRAFT_50806	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B5VWS	coproporphyrinogen III oxidase	K00228	Porphyrin and chlorophyll metabolism	bacillariaceae	Fragilariopsis
lcl|FLDA00M01B5Y9Z	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01B614F	ADP-ribosylation factor 1	K07937	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B64B2	flavodoxin I	K03839	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B64BK	geranylgeranyl reductase	K10960	Terpenoid backbone biosynthesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B64WS	translation initiation factor eIF-4A	K03257	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B69TE	"sulfite reductase, dissimilatory-type beta subunit"	K11181	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01B6IBL	large subunit ribosomal protein L44e	K02929	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01B6PO3	transketolase	K00615	Pentose phosphate pathway	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B6R5T	homogentisate solanesyltransferase	K12501	Ubiquinone and other terpenoid-quinone biosynthesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B6S1E	similar to Protein phosphatase 1J (PP2C domain containing)	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01B6VJU	cation transporting ATPase (EC:3.6.1.- 3.6.3.10 3.6.3.-)	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B6X5H	thiamine biosynthesis protein ThiC	K03147	Thiamine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B6YS9	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01B72ZO	small subunit ribosomal protein S30e	K02983	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B73BA	ypt1-like rab-type small G protein	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01B76T4	elongation factor EF-2	K03234	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01B77DA	small subunit ribosomal protein S19e	K02966	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B78D7	small subunit ribosomal protein S5e	K02989	NA	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01B797P	phosphoglycerate kinase	K00927	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B7BTR	large subunit ribosomal protein L22e	K02891	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B7GXG	V-type H+-transporting ATPase 21kDa proteolipid subunit	K03661	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01B7GXJ	ubiquitin C	K08770	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B7W12	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B7WY1	reductase with NAD or NADP as acceptor (EC:1.1.1.-)	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B7ZZF	lcl|bfo:BRAFLDRAFT_104920	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B8467	"casein kinase 2, alpha polypeptide"	K03097	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01B85AR	small subunit ribosomal protein S13e	K02953	Ribosome	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01B8C6J	small subunit ribosomal protein S13e	K02953	Ribosome	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01B8FTF	large subunit ribosomal protein L23e	K02894	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B8IAI	photosystem II biogenesis protein Psp29	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01B8NZ2	magnesium chelatase	K03403	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01B8S57	"dTDP-glucose 4,6-dehydratase"	K01710	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B8S7F	small subunit ribosomal protein S12e	K02951	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01B8Y22	tubulin alpha	K07374	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01B8ZYJ	large subunit ribosomal protein L5e	K02932	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01B91TV	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Phaeodactylum
lcl|FLDA00M01B96X3	heat shock 70kDa protein 5	K09490	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01B96X9	lcl|pti:PHATRDRAFT_30461	NA	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01B97M4	anthranilate synthase component II	K01658	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01B9B6P	translation initiation factor eIF-5A	K03263	NA	bacillariaceae	Pseudo-nitzschia granii
