treatment	query_seq	tag_length	what_id	what_description	what_e_value	what_definition	what_def	gene_length	protein_id	kid	pathway	path_class	who_db	who_db	who_id	who_e_value	phylum	family	trophic_state	genus_sp
ambient	lcl|FLTNPN102FYGH5	254	lcl|pti:PHATR_21183	NA	5.88E-23	inorganic pyrophosphatase	inorganic pyrophosphatase	750	pti:PHATR_21183	K01507	Oxidative phosphorylation	Oxidative phosphorylation	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig00447	3.12E-31	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102FQ91R	253	lcl|pti:PHATRDRAFT_14529	NA	5.07E-29	inorganic pyrophosphatase	inorganic pyrophosphatase	232	pti:PHATRDRAFT_14529	K01507	Oxidative phosphorylation	Oxidative phosphorylation	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig02210	5.95E-40	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102IEF6S	257	lcl|pti:PHATRDRAFT_14529	NA	1.64E-33	inorganic pyrophosphatase	inorganic pyrophosphatase	232	pti:PHATRDRAFT_14529	K01507	Oxidative phosphorylation	Oxidative phosphorylation	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig02210	9.10E-45	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102GAAEV	256	lcl|pti:PHATRDRAFT_14529	NA	1.64E-33	inorganic pyrophosphatase	inorganic pyrophosphatase	232	pti:PHATRDRAFT_14529	K01507	Oxidative phosphorylation	Oxidative phosphorylation	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig02210	5.12E-45	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101DQO0C	268	lcl|pti:PHATRDRAFT_14529	NA	9.56E-29	inorganic pyrophosphatase	inorganic pyrophosphatase	232	pti:PHATRDRAFT_14529	K01507	Oxidative phosphorylation	Oxidative phosphorylation	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig02210	2.51E-39	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102FSYZ8	232	lcl|pti:PHATRDRAFT_51289	"FbaC5; fructose-bisphosphate aldolase ; K01623 fructose-bisphosphate aldolase, class I"	3.54E-23	"fructose-bisphosphate aldolase, class I"	"fructose-bisphosphate aldolase, class I"	401	pti:PHATRDRAFT_51289	K01623	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig01578	7.26E-32	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101CJBO6	261	lcl|pti:PHATRDRAFT_51289	"FbaC5; fructose-bisphosphate aldolase ; K01623 fructose-bisphosphate aldolase, class I"	1.59E-28	"fructose-bisphosphate aldolase, class I"	"fructose-bisphosphate aldolase, class I"	401	pti:PHATRDRAFT_51289	K01623	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig01578	1.72E-39	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101DQJO9	237	lcl|pti:PHATRDRAFT_51289	"FbaC5; fructose-bisphosphate aldolase ; K01623 fructose-bisphosphate aldolase, class I"	1.33E-22	"fructose-bisphosphate aldolase, class I"	"fructose-bisphosphate aldolase, class I"	401	pti:PHATRDRAFT_51289	K01623	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig01578	4.89E-31	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102FEQXG	236	lcl|plu:plu0957	"fba; fructose-bisphosphate aldolase (EC:4.1.2.13); K01624 fructose-bisphosphate aldolase, class II"	1.63E-28	"fructose-bisphosphate aldolase, class II"	"fructose-bisphosphate aldolase, class II"	358	plu:plu0957	K01624	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig00359	1.09E-37	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101A9Q9U	240	lcl|plu:plu0957	"fba; fructose-bisphosphate aldolase (EC:4.1.2.13); K01624 fructose-bisphosphate aldolase, class II"	1.24E-28	"fructose-bisphosphate aldolase, class II"	"fructose-bisphosphate aldolase, class II"	358	plu:plu0957	K01624	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig00359	2.66E-36	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101DZWYY	257	lcl|tps:THAPSDRAFT_270288	NA	9.36E-21	"fructose-bisphosphate aldolase, class II"	"fructose-bisphosphate aldolase, class II"	393	tps:THAPSDRAFT_270288	K01624	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig00359	1.01E-29	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101D0FRW	227	lcl|sfr:Sfri_3771	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase (EC:4.2.1.3); K01682 aconitate hydratase 2	7.91E-23	aconitate hydratase 2	aconitate hydratase 2	865	sfr:Sfri_3771	K01682	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig00418	3.38E-30	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102HR1CZ	228	lcl|pmg:P9301_08261	rpe; ribulose-phosphate 3-epimerase (EC:5.1.3.1); K01783 ribulose-phosphate 3-epimerase	3.20E-24	ribulose-phosphate 3-epimerase	ribulose-phosphate 3-epimerase	252	pmg:P9301_08261	K01783	Pentose phosphate pathway	Pentose phosphate pathway	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig03700	8.97E-39	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101C31DM	244	lcl|pmi:PMT9312_0774	ribulose-5-phosphate 3-epimerase (EC:5.1.3.1); K01783 ribulose-phosphate 3-epimerase	7.76E-23	ribulose-phosphate 3-epimerase	ribulose-phosphate 3-epimerase	252	pmi:PMT9312_0774	K01783	Pentose phosphate pathway	Pentose phosphate pathway	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig04085	1.67E-36	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102GGVN5	244	lcl|pmi:PMT9312_0774	ribulose-5-phosphate 3-epimerase (EC:5.1.3.1); K01783 ribulose-phosphate 3-epimerase	2.49E-29	ribulose-phosphate 3-epimerase	ribulose-phosphate 3-epimerase	252	pmi:PMT9312_0774	K01783	Pentose phosphate pathway	Pentose phosphate pathway	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig04085	2.49E-45	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101BB3IH	256	lcl|pmi:PMT9312_0774	ribulose-5-phosphate 3-epimerase (EC:5.1.3.1); K01783 ribulose-phosphate 3-epimerase	2.22E-30	ribulose-phosphate 3-epimerase	ribulose-phosphate 3-epimerase	252	pmi:PMT9312_0774	K01783	Pentose phosphate pathway	Pentose phosphate pathway	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig04085	2.14E-42	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101DLWJH	267	lcl|pde:Pden_4550	acetate--CoA ligase ; K01895 acetyl-CoA synthetase	6.64E-30	acetyl-CoA synthetase	acetyl-CoA synthetase	651	pde:Pden_4550	K01895	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig03242	2.66E-40	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101CYUJY	256	lcl|rsq:Rsph17025_0510	acetate--CoA ligase ; K01895 acetyl-CoA synthetase	1.22E-28	acetyl-CoA synthetase	acetyl-CoA synthetase	653	rsq:Rsph17025_0510	K01895	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig03242	1.05E-37	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102G5AQ5	257	lcl|rsq:Rsph17025_0510	acetate--CoA ligase ; K01895 acetyl-CoA synthetase	1.22E-28	acetyl-CoA synthetase	acetyl-CoA synthetase	653	rsq:Rsph17025_0510	K01895	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig03242	1.05E-37	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101EOJBN	207	lcl|tgo:TGME49_090600	"succinyl-CoA ligase alpha subunit, putative (EC:6.2.1.4); K01899 succinyl-CoA synthetase alpha subunit"	8.60E-22	succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]	succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]	333	tgo:TGME49_090600	K01899	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig03366	4.96E-27	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
